BrandName,BrandCode,pH,EC,TDS,Ca,Mg,Hard,HCO3,Cl,Na,F,K,NO3,SO4,As,Potability
Noble,BWR-01,7.20,396,218,30,16,140,40,86,27,0.2,0.6,0.947,40,0.4,1
Nestle Pure Life,BWR-02,7.10,432,238,36,18,165,45,98,23,0.211,0.3,1.1,33,0.4,1
Water Plus,BWR-03,7.05,234,129,16,7,70,40,50,25,0.211,0.4,0.947,15,0.3,1
Refine,BWR-04,7.25,419,230,30,16,140,40,85,31,0.08,1.5,0.947,48,2,1
Aqua Hayat,BWR-05,7.26,336,185,20,15,110,50,56,25,0.04,0.3,0.947,36,6,1
Do Abe Water,BWR-06,6.75,301,166,16,12,90,30,70,30,0.211,0.4,0.5,24,0.4,1
Pure 18,BWR-07,6.60,402,221,24,10,100,30,105,43,0.22,0.0,0.947,19,0.7,1
Aqua Avolam,BWR-08,6.77,368,202,33.41,12,50,40,74,61,0.22,0.0,0.4,35,0.4,1
Yas,BWR-09,7.10,236,130,28,12.378,70,20,48,21,0.02,0.4,0.947,25,0.4,1
Popular Maza,BWR-10,6.75,326,179,40,7,130,30,96,14,0.03,1.9,0.947,25.989,1,1
Droplet,BWR-11,6.75,302,166,28,12,120,40,60,18,0.28,0.6,0.947,32,0.5,1
Pure Aqua,BWR-12,6.56,295,162,28,10,110,40,55,19,0.211,0.2,0.947,29,0.3,1
Safe Life,BWR-13,6.85,341,188,28,2,80,40,70,42,0.13,0.4,0.947,30,0.5,1
ABS Minerals,BWR-14,7.10,398,219,28,10,110,30,96,40,0.1,0.6,0.947,28,0.4,1
Aquench,BWR-15,7.50,484,266,36,12,140,40,115,48,0.47,0.6,0.947,35,0.5,1
Crystal Maya,BWR-16,7.01,399,219,48,6,145,40,86,25,0.211,1.186,0.947,33,0.5,1
Mag life,BWR-17,7.04,302,166,36,5,110,30,60,18,0.08,1.4,0.947,34,0.8,1
Orion,BWR-18,6.75,323,178,38,5,115,30,70,20,0.1,0.4,0.3,32,0.4,1
Jel,BWR-19,7.05,263,145,32,2,90,30,50,19,0.211,0.7,0.2,26,0.4,1
